,INDY_CD,Fixed Assets,Inventories,Land,inc_ratio
0,21.0,1.32480462e+11,5963451000.0,4905242000.0,1.0
1,22.0,1.6190922e+11,3946815000.0,1246732000.0,1.0
2,54.0,28519651000.0,2034870000.0,876417000.0,1.0
3,55.0,46536486000.0,2865845000.0,2940978000.0,1.0
4,61.0,1621931000.0,20711000.0,178318000.0,1.0
5,111.0,34829878000.0,9936802000.0,45552539000.0,1.0
6,113.0,1365789000.0,206145000.0,10289270000.0,1.0
7,114.0,4798625000.0,1310899000.0,2438301000.0,1.0
8,236.0,4786082000.0,25473321000.0,10806519000.0,1.0
9,237.0,8734242000.0,8430837000.0,3615274000.0,1.0
10,238.0,4073315000.0,1719953000.0,381922000.0,1.0
11,311.0,0.0,0.0,0.0,0.0
12,312.0,0.0,0.0,0.0,0.0
13,313.0,0.0,0.0,0.0,0.0
14,315.0,0.0,0.0,0.0,0.0
15,316.0,0.0,0.0,0.0,0.0
16,321.0,0.0,0.0,0.0,0.0
17,322.0,0.0,0.0,0.0,0.0
18,323.0,0.0,0.0,0.0,0.0
19,324.0,0.0,0.0,0.0,0.0
20,325.0,0.0,0.0,0.0,0.0
21,326.0,0.0,0.0,0.0,0.0
22,327.0,0.0,0.0,0.0,0.0
23,331.0,0.0,0.0,0.0,0.0
24,332.0,0.0,0.0,0.0,0.0
25,333.0,0.0,0.0,0.0,0.0
26,334.0,0.0,0.0,0.0,0.0
27,335.0,0.0,0.0,0.0,0.0
28,336.0,0.0,0.0,0.0,0.0
29,337.0,0.0,0.0,0.0,0.0
30,339.0,0.0,0.0,0.0,0.0
31,423.0,7665206000.0,24774915000.0,1381227000.0,1.0
32,424.0,31865803000.0,24986933000.0,2220921000.0,1.0
33,425.0,215761000.0,380877000.0,27982000.0,1.0
34,441.0,5227688000.0,28880364000.0,1210046000.0,1.0
35,442.0,1056987000.0,1545543000.0,93280000.0,1.0
36,443.0,112339000.0,312976000.0,7122000.0,1.0
37,444.0,657843000.0,1978054000.0,237855000.0,1.0
38,445.0,8252688000.0,4613478000.0,2430244000.0,1.0
39,446.0,856873000.0,1515555000.0,8671000.0,1.0
40,447.0,5943205000.0,1294409000.0,2868571000.0,1.0
41,448.0,1157709000.0,3067608000.0,25502000.0,1.0
42,451.0,980013000.0,2313206000.0,11213000.0,1.0
43,452.0,902348000.0,1231691000.0,161150000.0,1.0
44,453.0,1823069000.0,4769489000.0,111850000.0,1.0
45,454.0,3884957000.0,2529301000.0,384102000.0,1.0
46,481.0,19911408000.0,358138000.0,180518000.0,1.0
47,484.0,4152164000.0,120649000.0,73122000.0,1.0
48,485.0,312794000.0,11486000.0,2000.0,1.0
49,486.0,0.0,0.0,0.0,1.0
50,487.0,9543597000.0,414019000.0,129360000.0,1.0
51,493.0,7814877000.0,202618000.0,278055000.0,1.0
52,511.0,1681166000.0,703165000.0,155991000.0,1.0
53,512.0,2782342000.0,3673321000.0,120930000.0,1.0
54,515.0,19927660000.0,2165567000.0,764287000.0,1.0
55,517.0,83515966000.0,3520408000.0,502744000.0,1.0
56,518.0,2329598000.0,45882000.0,204953000.0,1.0
57,519.0,2172451000.0,100728000.0,25062000.0,1.0
58,521.0,39957000.0,0.0,0.0,1.0
59,522.0,3331183000.0,7689777000.0,653560000.0,1.0
60,523.0,43523120000.0,9881849000.0,14039520000.0,1.0
61,524.0,441995000.0,44843000.0,13904000.0,1.0
62,525.0,6936917000.0,194548000.0,2232395000.0,1.0
63,531.0,2.367120935e+12,28210705000.0,8.32868665e+11,1.0
64,532.0,65845961000.0,834048000.0,1132070000.0,1.0
65,533.0,234744000.0,21154000.0,1063535000.0,1.0
66,561.0,4700408000.0,541124000.0,376732000.0,1.0
67,562.0,6045514000.0,145936000.0,114032000.0,1.0
68,621.0,8799759000.0,408293000.0,316720000.0,1.0
69,625.0,1688221000.0,24945000.0,241178000.0,1.0
70,626.0,40534027000.0,334967000.0,4513148000.0,1.0
71,711.0,12764006000.0,272243000.0,1385284000.0,1.0
72,713.0,23903773000.0,824587000.0,5460956000.0,1.0
73,721.0,1.18894167e+11,778725000.0,28679110000.0,1.0
74,722.0,21187772000.0,1458349000.0,1753496000.0,1.0
75,812.0,3547278000.0,307326000.0,884890000.0,1.0
76,813.0,31253000.0,0.0,9826000.0,1.0
77,811115.0,2629919000.0,320270000.0,765621000.0,1.0
78,811215.0,847893000.0,400084000.0,8088000.0,1.0
